C,class_weight,mean_pr_auc,std_pr_auc,mean_roc_auc,mean_brier_score,fold_detail,selected
0.01,None,0.03890595565330488,0.026550095231224237,0.5447410797525215,0.09235053003257764,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.017371033238080917, ""roc_auc"": 0.2739130434782609, ""brier_score"": 0.1190821719517434}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.030776515151515152, ""roc_auc"": 0.591304347826087, ""brier_score"": 0.09618423379409938}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.06857031857031858, ""roc_auc"": 0.7690058479532164, ""brier_score"": 0.06178518435189012}]",False
0.1,None,0.049580090691201804,0.02890972182018705,0.5998135435206374,0.04504934208111952,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.016273849607182943, ""roc_auc"": 0.23043478260869565, ""brier_score"": 0.03289126092657826}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.06428571428571428, ""roc_auc"": 0.8, ""brier_score"": 0.07519257924879856}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.06818070818070818, ""roc_auc"": 0.7690058479532165, ""brier_score"": 0.02706418606798176}]",False
1.0,None,0.08532452903264519,0.08639678267578031,0.6289939825408933,0.15018527769610335,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.017318124913061624, ""roc_auc"": 0.2739130434782609, ""brier_score"": 0.02353194934221395}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.18253968253968253, ""roc_auc"": 0.9434782608695652, ""brier_score"": 0.4008788205980966}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.056115779645191405, ""roc_auc"": 0.6695906432748537, ""brier_score"": 0.02614506314799947}]",True
10.0,None,0.09417494315858922,0.11467778975324576,0.6175184337655734,0.2007043977679647,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.01922739244951712, ""roc_auc"": 0.3521739130434782, ""brier_score"": 0.0432581919701274}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.22619047619047616, ""roc_auc"": 0.9565217391304348, ""brier_score"": 0.5313584803607244}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.037106960835774395, ""roc_auc"": 0.5438596491228069, ""brier_score"": 0.02749652097304235}]",False
0.01,balanced,0.05382033290594734,0.03332752130381822,0.5325620815323332,0.34331798769219773,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.015783343040186373, ""roc_auc"": 0.2043478260869565, ""brier_score"": 0.23491559848527785}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.06777777777777777, ""roc_auc"": 0.8260869565217391, ""brier_score"": 0.5724633431579761}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.0778998778998779, ""roc_auc"": 0.567251461988304, ""brier_score"": 0.22257502143333924}]",False
0.1,balanced,0.04793966799780753,0.03332017855314922,0.551801000084753,0.32738441577980754,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.017177589852008457, ""roc_auc"": 0.2565217391304348, ""brier_score"": 0.15509032970073977}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.08333333333333333, ""roc_auc"": 0.8608695652173913, ""brier_score"": 0.6517024529399472}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.04330808080808081, ""roc_auc"": 0.5380116959064327, ""brier_score"": 0.17536046469873554}]",False
1.0,balanced,0.06062775750813196,0.06250333153002861,0.5694380879735571,0.3026295528976894,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.018806959403479703, ""roc_auc"": 0.33478260869565213, ""brier_score"": 0.1008048182234197}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.13247863247863248, ""roc_auc"": 0.9173913043478261, ""brier_score"": 0.6429762659229531}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.030597680642283676, ""roc_auc"": 0.45614035087719296, ""brier_score"": 0.16410757454669542}]",False
10.0,balanced,0.06219705254957653,0.06657573080273073,0.564013899483007,0.2792370829459216,"[{""fold"": 1, ""train_rows"": 120, ""train_defaults"": 5, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.019257703081232494, ""roc_auc"": 0.3521739130434783, ""brier_score"": 0.08881128339116304}, {""fold"": 2, ""train_rows"": 237, ""train_defaults"": 7, ""validation_rows"": 117, ""validation_defaults"": 2, ""pr_auc"": 0.1388888888888889, ""roc_auc"": 0.9217391304347826, ""brier_score"": 0.6081977066407455}, {""fold"": 3, ""train_rows"": 354, ""train_defaults"": 9, ""validation_rows"": 117, ""validation_defaults"": 3, ""pr_auc"": 0.02844456567860823, ""roc_auc"": 0.4181286549707602, ""brier_score"": 0.14070225880585616}]",False
