age_band,rows,defaults,default_rate,mean_predicted_probability,roc_auc,pr_auc,brier_score,high_risk_flag_rate,precision,recall,false_positive_rate,confusion_matrix
19-34,47,0,0.0,0.02110331925397052,,,0.002394493480462502,0.1702127659574468,0.0,0.0,0.1702127659574468,"[[39, 8], [0, 0]]"
35-49,70,6,0.08571428571428572,0.020995760337583734,0.8802083333333334,0.31209415584415584,0.08033707471984029,0.17142857142857143,0.3333333333333333,0.6666666666666666,0.125,"[[56, 8], [2, 4]]"
50+,43,3,0.06976744186046512,0.02048271959683027,0.9333333333333333,0.5873015873015872,0.06253209803772955,0.23255813953488372,0.3,1.0,0.175,"[[33, 7], [0, 3]]"
