model,modeling_population_size,evaluation_sample_size,evaluation_defaults,default_prevalence,raw_feature_count,feature_count,split_method,threshold_policy,threshold,roc_auc,roc_auc_reported_binary,pr_auc,accuracy,precision,recall,f1,confusion_matrix,true_negative,false_positive,false_negative,true_positive,brier_score,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,test_rows_also_in_training,notes
Submitted bad model,1000,486,256,0.5267489711934157,35,35,"Random row split after full-data preprocessing, target encoding, feature selection, and oversampling",Maximize accuracy on the same test set,0.23000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[230, 0], [0, 256]]",230,0,0,256,0.00010051659438181187,,,,,,,256,Not credible: future outcome fields and repeated oversampled records contaminate the test set.
Corrected OOT model,787,160,9,0.05625,16,29,"Chronological: develop before 2023-09-03, validate before 2024-03-21, then final OOT test",Highest validation threshold retaining 100% recall; final test untouched,0.027981534899486248,0.8785871964679911,,0.22762754450530603,0.84375,0.23333333333333334,0.7777777777777778,0.358974358974359,"[[128, 23], [2, 7]]",128,23,2,7,0.052656353997455795,0.8013245033112583,0.9403973509933775,0.1575594395165474,0.43600290958134086,0.050409868555195386,0.05522247151802838,0,Leakage-free benchmark. Nine final-test defaults make all estimates imprecise; threshold requires business-cost validation.
